dataset_id,capability,sources,identity_key,canonical_payload,delete_detection,restricted_detail,acceptance
REC-001,schema,"information_schema columns/indexes/constraints","table+column/index","type|nullability|default|collation|index order","full schema anti-join",no,"only approved additive differences"
REC-002,orders.core,orders,id,"approved all-column schema manifest; JSON/serialized fields tagged and hashed","full PK anti-join + tombstone/mutation ledger",yes,"zero missing/duplicate IDs; only signed field deltas"
REC-003,orders.actions,order_action,id,"order link|action/status fields|timestamps","full PK anti-join",yes,"zero unexplained rows/orphans"
REC-004,payments,"orders payment fields; order_payment_requests",source+primary key,"amount|currency|reference|status|paid_at|provider receipt projection","PK anti-join + provider receipt ledger",yes,"zero unknown/unmatched or repeated side effects"
REC-005,chats,"order_user_comments; orders_chats; order_admin_comments; order_painter_comments",source_table+id,"order link|actor flags|direction/read/image flags|timestamps|attachment reference","per-stream PK anti-join",yes,"zero destructive merges; actor ambiguity preserved"
REC-006,sa.ledger,"sa_events; sa_conversations; sa_messages; sa_escalations; sa_bot_controls",source unique event/message/conversation key,"status|order link|dedupe/receipt fields|timestamps","full unique-key anti-join",yes,"zero duplicate external IDs; order IDs unchanged"
REC-007,translations.voyager,translations,"table_name+column_name+foreign_key+locale","value HMAC|created_at|updated_at","full composite-key anti-join + parent anti-join",yes,"zero unexplained missing/duplicate keys; all locale cohorts retained"
REC-008,translations.ltm,ltm_translations,"locale+group+key","value HMAC|status|created_at|updated_at","full logical-key anti-join; duplicate/NULL report",yes,"zero unexplained duplicate/missing keys; publish state reconciled to artifact"
REC-009,translations.files,resources/lang,"relative_path","locale|group|size|SHA-256|PHP lint","full path anti-join",yes,"all retained dirs/files present; lint passes; expected hashes only"
REC-010,locales.routing,"locales table; config; route/middleware mapping","source locale identifier","public/regional/fallback/enabled semantics","registry anti-join",no,"lv|lt|pl|ru|de|en|ee preserved; ee/et distinct; cn/jp retained; uk fallback signed"
REC-011,catalog.item,gallery_items,id,"all approved fields with normalized numbers/dates and opaque payload hashes","full PK anti-join",yes,"IDs/slugs/status/price fields match approved delta"
REC-012,catalog.lookups,"gallery_categories; gallery_sizes; type/color/room/style/genre tables",table+id,"all approved fields","full per-table PK anti-join",yes,"zero unexplained lookup loss/duplication"
REC-013,catalog.pivots,"gallery_category_gallery_item; gallery_items_ gallery_tag_sizes; other catalogue pivots",table+primary key,"foreign keys|ordering|timestamps when present","full PK/hash + parent anti-joins",yes,"known orphan cohorts classified; no new unexplained orphans"
REC-014,content,"pages; blog_posts; blog_categories; header_menu; menus; menu_items; newhome_services",table+id,"all fields; hierarchy and order normalized","full PK anti-join + parent/tree anti-join",yes,"parent/tree/content/translation counts and hashes match"
REC-015,voyager.metadata,"data_types; data_rows; settings; roles; permissions; permission_role",table+primary/logical key,"all fields; options JSON canonical where valid","full PK/key anti-join; no timestamp reliance",yes,"133 BREAD/ACL/settings inventory has only signed changes"
REC-016,media.references,"media and content/order file reference columns",source_table+id,"relative path|disk|model link|metadata hash","DB anti-join + filesystem reference anti-join",yes,"zero missing referenced files; new/unreferenced files classified"
REC-017,media.files,"storage/app/public; approved upload/public media roots",relative_path,"size|SHA-256|MIME classification","full path anti-join",yes,"zero unexplained missing/changed files; quarantine rules applied"
REC-018,seo.urls,"localized routes; content slugs/meta; canonical/hreflang projection",locale+normalized_url,"HTTP status|target|canonical|hreflang set|meta HMAC","full URL-set anti-join",yes,"zero unexplained 404/collision; signed intentional URL changes"
REC-019,seo.redirects,"routes/code/static redirect map",source+precedence,"target|status|locale|rule source","full rule-set anti-join",no,"zero loops/conflicts; chains within approved bound"
REC-020,seo.feeds,"sitemap and feed projections",artifact+locale+normalized_url,"status|lastmod|offer/price projection hash","full normalized URL-set anti-join",yes,"all required URLs/locales present; no stale/invalid offers"
REC-021,suggestions,"image_alt_suggestions; seo_meta_suggestions",table+id/logical unique key,"status|locale|target reference|suggestion HMAC|timestamps","full key anti-join + apply receipt",yes,"no blind retry; each applied suggestion has one target mutation receipt"
REC-022,frontend.assets,"mix-manifest and approved public CSS/JS/image artifact",relative_path,"size|SHA-256|manifest mapping","full path anti-join",no,"byte-identical frozen artifact; no Vite/no rebuild"
