test_id,area,decision_rows_covered,precondition,locale_scope,action,expected_result,evidence,gate_owner
I18N-UAT-001,header top sale,16,"site.top_sale=true; approved DB/PHP values loaded in versioned staging artifact",de|ee|en|et|lt|lv|pl|ru,"open representative public page for every locale","top-sale banner is visible; approved text is used; no raw translation key; layout and locale URL remain correct","screenshot + artifact ID + locale URL",Content+QA
I18N-UAT-002,header top sale,16,"site.top_sale=false",de|ee|en|et|lt|lv|pl|ru,"open the same representative public pages","top-sale banner is absent; header offset/layout remains correct","screenshot + setting snapshot",QA
I18N-UAT-003,delivery header,16,"site.top_sale=true; delivery_page route available",de|ee|en|et|lt|lv|pl|ru,"open delivery page in every locale","legacy delivery header shows the same approved top-sale text without missing key or duplicate banner","screenshot + locale URL",Content+QA
I18N-UAT-004,header source consistency,16,"approved disposition recorded for DB and PHP rows",de|ee|en|et|lt|lv|pl|ru,"compare LTM approved value with built PHP artifact fingerprint","DB decision and PHP artifact refer to one approved edition; publisher cannot silently overwrite it","signed disposition + manifest/hash",Content+DevOps
I18N-UAT-005,RU account print status,1,"authenticated non-painter customer; own order status=in_production; painter assigned",ru,"open order details","approved orders.user_status.print_text is visible exactly once and no raw key is displayed","screenshot + order/status fixture ID",Content+QA
I18N-UAT-006,RU account print negative branch,1,"authenticated non-painter customer; own order status=in_production; no painter assigned",ru,"open order details","print_text notification is not displayed; page remains valid","screenshot + fixture ID",QA
I18N-UAT-007,RU account other statuses,1,"authenticated non-painter customer; own orders use watching|pegging|sended|completed",ru,"open each order details fixture","print_text is absent outside its intended branch; existing status labels remain unchanged","screenshots + fixture IDs",QA
I18N-UAT-008,account dormant fallback,8,"orders.not_specified retained in candidate artifact",de|ee|en|et|lt|lv|pl|ru,"run isolated translation lookup and account empty-field/fallback fixture","lookup resolves to approved locale text; no key literal or exception; no live consumer is invented","automated assertion + owner disposition",Content+QA
I18N-UAT-009,Google reviews enabled,2,"reviews section enabled; test API response available",lv|lt|pl|ru|de|en|ee,"open index canvas and reviews pages","section renders labels reviews/see_more/hide/leave_review in active locale and API failure has controlled fallback","screenshots + browser/network log",Content+QA
I18N-UAT-010,Google reviews disabled,2,"reviews section disabled",lv|lt|pl|ru|de|en|ee,"open index canvas and reviews pages","section is absent; no client request to reviews endpoint; surrounding layout remains correct","screenshot + browser/network log",QA
I18N-UAT-011,Google reviews sitemap,2,"HTML sitemap route available",lv|lt|pl|ru|de|en|ee,"generate/open HTML sitemap","reviews label resolves in locale and review URL is correct; no raw key","HTML snapshot + locale URL",SEO+QA
I18N-UAT-012,CN/JP dormant files,2,"cn/jp google_reviews.php preserved; public locale activation remains off unless approved",cn|jp,"run isolated translation lookup and route/fallback test without enabling public locale","files remain loadable and syntax-valid; no accidental public locale or URL activation","lint + lookup assertion + route inventory",Content+SEO+QA
I18N-UAT-013,publisher containment,27,"candidate and previous versioned artifacts exist; legacy publishers denied or read-only",all,"attempt unapproved Translation Manager/AdminLocale publish then activate approved candidate and rollback","unapproved write is denied and audited; activation is atomic; rollback restores prior hashes without losing production edits","ACL log + before/after manifests + rollback receipt",Security+DevOps+QA
I18N-UAT-014,artifact completeness,27,"approved dispositions applied to candidate artifact",all,"run PHP lint full manifest key/type comparison and approved delta check","all required locales/files/keys are present; only signed value/add/retire differences exist; 7 mail files remain semantic-equal","lint report + manifest + signed delta",DevOps+QA
