legacy_view,target_surface,proposed_target_class,wave,behavior_inventory,required_tests,disposition
resources/views/vendor/voyager/alt-suggestions/browse.blade.php,AltSuggestion Resource,App\Filament\Clusters\Seo\Resources\AltSuggestionResource,7-content-seo,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,migrate
resources/views/vendor/voyager/blog-posts/edit-add.blade.php,BlogPost Resource schema,App\Filament\Clusters\Content\Resources\BlogPostsResource,7-content-seo,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,migrate
resources/views/vendor/voyager/bread/browse.blade.php,Shared Resource behavior,Explicit Git-versioned Resources,0-foundation,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,retire_generic_voyager_markup_after_parity
resources/views/vendor/voyager/bread/edit-add.blade.php,Shared Resource behavior,Explicit Git-versioned Resources,0-foundation,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,retire_generic_voyager_markup_after_parity
resources/views/vendor/voyager/bread/order.blade.php,Order Resource Page/Section/Action,App\Filament\Clusters\Crm\Resources\OrderResource,1-orders-crm,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,migrate_behavior_not_markup
resources/views/vendor/voyager/bread/partials/actions.blade.php,Shared Resource behavior,Explicit Git-versioned Resources,0-foundation,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,retire_generic_voyager_markup_after_parity
resources/views/vendor/voyager/bread/read.blade.php,Shared Resource behavior,Explicit Git-versioned Resources,0-foundation,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,retire_generic_voyager_markup_after_parity
resources/views/vendor/voyager/coupon30_40.blade.php,Promotion Page/User Actions,App\Filament\Clusters\Marketing\Pages\PromotionCampaign,2-users-roles,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,migrate_with_receipts
resources/views/vendor/voyager/dashboard/sidebar.blade.php,Panel shell/theme/navigation,App\Providers\Filament\AdminPanelProvider,0-foundation,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,replace_with_filament_shell
resources/views/vendor/voyager/email-sender/index.blade.php,Marketing custom Page,App\Filament\Clusters\Marketing\Pages\EmailCampaign,7-content-seo,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,migrate_with_queue_controls
resources/views/vendor/voyager/email-sender/send_one_mail.blade.php,Marketing custom Page,App\Filament\Clusters\Marketing\Pages\EmailCampaign,7-content-seo,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,migrate_with_queue_controls
resources/views/vendor/voyager/facebook.blade.php,Promotion Page/User Actions,App\Filament\Clusters\Marketing\Pages\PromotionCampaign,2-users-roles,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,migrate_with_receipts
resources/views/vendor/voyager/form__label.blade.php,Panel shell/theme/navigation,App\Providers\Filament\AdminPanelProvider,0-foundation,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,replace_with_filament_shell
resources/views/vendor/voyager/form_courier.blade.php,Order Venipak Action modal,App\Filament\Clusters\Crm\Resources\OrderResource\Actions\VenipakAction,6-payments-delivery,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,migrate_after_provider_smoke
resources/views/vendor/voyager/formfields/relationship.blade.php,Resource relation components,Per-Resource Select/RelationManager,0-foundation,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,replace_with_explicit_relations
resources/views/vendor/voyager/gallery-items/edit-add.blade.php,GalleryItem Resource schema,App\Filament\Clusters\Catalog\Resources\GalleryItemsResource,4-catalog-pricing,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,migrate
resources/views/vendor/voyager/master.blade.php,Panel shell/theme/navigation,App\Providers\Filament\AdminPanelProvider,0-foundation,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,replace_with_filament_shell
resources/views/vendor/voyager/multilingual/language-selector.blade.php,Shared translation form component,App\Filament\Support\Translations\TranslationTabs,5-translations,"Capture fields, conditional visibility, buttons/actions, routes, JS events, translations, files, side effects and role guards before replacement",Legacy characterization + target Livewire/component test + role/locale/action parity; visual comparison only during implementation UAT,replace_with_translation_adapter
