id,priority,owner,evidence,collection_method,redaction,acceptance,gate,status
L3-E01,Critical,DevOps,"production topology: LB/proxy/web/CLI/workers/DB/Redis/storage and host counts","signed diagram + component inventory","no IPs if restricted; no credentials","all runtime owners and network boundaries identified",L3-G01,partial
L3-E02,Critical,DevOps,"OS/runtime versions, PHP SAPI/extensions/ini effective values","version commands and effective config export","no env values/tokens","target and legacy compatibility matrix approved",L3-G01,partial
L3-E03,Critical,DevOps+App owner,"sanitized ENV key presence and effective Laravel config/cache state","keys/types/presence only; config cache checksum","remove every value and secret","no missing key; production fallbacks explicitly prohibited",L3-G01,partial
L3-E04,Critical,DevOps,"web/proxy TLS, HSTS, trusted proxies, body/timeouts and document root","sanitized vhost/proxy excerpts + probes","remove certificates/private keys/real IPs","public root only; HTTPS/proxy/body/timeouts documented",L3-G01,partial
L3-E05,Critical,DevOps+App owner,"scheduler owner and 30-day execution outcomes for five commands","cron/service manifest + success/failure buckets","no command payload/PII","exactly one owner; locks/timezone/alerts proven",L3-G02,partial
L3-E06,Critical,DevOps+App owner,"queue drivers, purpose queues, workers, depth, oldest age, failures, retry/backoff/timeout/restart","worker manifests + 30-day aggregate metrics","no serialized payload bodies","drain/restart/failed-job runbook tested",L3-G02,partial
L3-E07,Critical,DBA,"DB engine/version/topology, schema object counts, size/growth, charset/collation/sql mode/timezone/isolation","information_schema and SHOW VARIABLES allowlist","no row contents or credentials","production metadata baseline signed",L3-G01,partial
L3-E08,Critical,DBA,"backup schedule, encryption, retention, replica/binlog/PITR and last success","backup console/export metadata","no backup content/keys","RPO/RTO policy and recoverability demonstrated",L3-G03,partial
L3-E09,Critical,DBA+QA,"isolated restore drill","restore log + start/end times + table/count/hash manifest","no PII samples; counts/hashes only","restore succeeds; measured RPO/RTO accepted",L3-G03,open
L3-E10,Critical,DevOps+Content owner,"storage topology, paths/disks, permissions, free space/growth, public/private classification","filesystem metadata and mount/object-store policy","filenames hashed if sensitive; no file content","capacity and ownership matrix approved",L3-G04,partial
L3-E11,Critical,DevOps+QA,"storage link/mount creation and file/PDF smoke tests","fresh-release scripted test","synthetic files only","read/write/delete/download/cleanup work on every host",L3-G04,open
L3-E12,High,DevOps+Security,"log channels, rotation, retention, aggregation, access and redaction","logging config + sample redacted event + size trends","remove PII/secrets/raw payload","central search/correlation/retention approved",L3-G05,partial
L3-E13,Critical,DevOps,"metrics/alerts/dashboards for HTTP, DB, queue, scheduler, disk, providers","dashboard screenshots/export + alert test","aggregate only","owners and thresholds acknowledged; test alert received",L3-G05,open
L3-E14,Critical,DevOps+Release manager,"deployment/build artifact, release steps, migrations, caches, health checks and rollback","versioned runbook + dry run","no secrets","repeatable atomic release and application rollback demonstrated",L3-G05,partial
L3-E15,Critical,Business+Tech leads,"live write-owner matrix for orders/payments/chats/content/translations/integrations","signed component matrix","no business data","one writer per component at every phase",L3-G06,partial
L3-E16,Critical,DBA+App owner,"final delta, tombstones, watermarks and reconciliation contract","rehearsal report with counts/hashes","no row content","no lost/duplicate writes in rehearsal",L3-G06,partial
L3-E17,Critical,QA+Business owners,"orders/payment/status/chat/translation invariant suite on restored production-like data","automated report + owner UAT","masked dataset; no live providers","all critical invariants pass",L3-G06,open
L3-E18,High,DevOps+App owner,"session/cache drivers, cookie policy, locking, TTL, eviction/failover","effective config + multi-host tests","no cookies/session values","auth/cart/admin continuity proven",L3-G01,partial
L3-E19,High,DevOps+App owner,"timezone/tzdata alignment across web CLI workers DB","effective values + DST fixtures","none","UTC storage and business-time behavior approved",L3-G01,partial
L3-E20,High,Security+DevOps,"tracked temp/backup artifacts and release allowlist","artifact manifest + secret/PII scanner report","report findings without secret values","unapproved dump/backup files excluded",L3-G01,open
L3-E21,High,App owner+DevOps,"30–90 day anonymized traffic/error/latency/cron/queue/provider volume summary","aggregated logs/metrics buckets","no IP/email/order/message/provider payload","capacity and test-load profiles defined",L3-G05,open
L3-E22,Critical,Release manager+Business owners,"cutover and rollback rehearsal with observation window and triggers","timed game-day report","synthetic/masked identifiers","forward-compatible rollback preserves all live writes",L3-G06,open
