"ID","Контур","Method","Route/trigger","Handler","Authority/input","Storage/write","Подтверждённый риск","Обязательная проверка"
"FILE-001","Public file serving","GET","/storage/{path}","routes/web.php closure","anonymous path","storage/app/public read","one-pass traversal cleanup; no ownership; any public-disk object is exposed","encoded/double traversal; canonical root; private file denial"
"FILE-002","Public file serving","GET","/uploads/{path}","routes/web.php closure","anonymous path","public/uploads read","one-pass traversal cleanup can escape uploads root","double traversal; symlink; non-image MIME; 404 contract"
"FILE-003","Public file serving","GET","/orders/{path}","routes/web.php closure","anonymous path","public/orders read","one-pass traversal; production image names disclose order metadata","traversal; guessing; authorization class per file"
"FILE-004","Admin-looking file serving","GET","/admin/user_images/{path}","routes/admin.php closure","anonymous path","public disk/public admin fallback read","outside admin.user; traversal cleanup is non-canonical; SVG allowed","anonymous/role matrix; SVG active content; traversal"
"FILE-005","Admin-looking file serving","GET","/admin/gallery-items/{path}","routes/admin.php closure","anonymous path","public disk/public admin fallback read","outside admin.user; traversal cleanup is non-canonical; SVG allowed","anonymous/role matrix; SVG; traversal"
"FILE-006","TinyMCE upload","ANY","/admin/upload/tinyimage","VoyagerAdminController::tiny_upload","authenticated user; original filename","public/uploads overwrite","auth is not admin permission; no MIME/size; original-name overwrite; ANY","user/admin matrix; PHP/HTML/SVG/polyglot; collision; oversize"
"FILE-007","Review audio admin","POST","/admin/upload_audio_rev","VoyagerAdminController::upload_audio_rev","authenticated user; audio_upload/item/lang","public uploads + translated OurWork","no MIME/size/role; arbitrary item/lang write after file save","role; MIME; oversize; missing item/translation; rollback"
"FILE-008","Painter images admin","POST","/admin/add_painter_images","OrdersController::add_painter_images","web request; order_id/files","public/orders + orders.painter_images","no auth/role/ownership/MIME/size; arbitrary extension","anonymous/user roles; foreign order; executable; partial multi-file failure"
"FILE-009","Client images public","POST","/{locale}/orders/add_client_images","OrdersController::add_client_images","web request; order_id/item_index/files","public/orders + orders.items + rename","no auth/ownership/MIME/size; arbitrary order mutation; destructive rename follows","foreign order; malformed items; partial write; MIME/size"
"FILE-010","Painter image removal admin","GET","/admin/orders/{id}/remove_painter_image/{img_id?}","OrdersController::remove_painter_image","web request; id/index/row_id","orders fields/order_painter_images row delete","outside admin.user; GET side effect; DB reference removed but binary retained","anonymous/role; row/order mismatch; replay; file retention"
"FILE-011","Sketch removal public","GET","/{locale}/orders/remove_painter_sketch_image","OrdersController::remove_painter_sketch_image","anonymous path/query + CSRF-free GET","orders fields/order_painter_images row delete","no auth/ownership; GET side effect; binary retained","foreign order; crawler/prefetch; replay; row scope"
"FILE-012","Client image removal admin","GET","/admin/remove_user_image","OrdersController::remove_user_image","web request; order/index","orders.client_images update","outside admin.user; GET side effect; binary retained","anonymous/role; index bounds; replay; cleanup"
"FILE-013","Sketch status","POST","/{locale}/orders/changePainterSketchImagesStatus","OrdersController::changePainterSketchImagesStatus","web request; order/status string","orders status/date","no auth/ownership; unbounded status domain","roles/foreign order; enum; concurrent status"
"FILE-014","Painter status","POST","/{locale}/orders/changePainterImagesStatus","OrdersController::changePainterImagesStatus","web request; order/status string","orders status/date","no auth/ownership; unbounded status domain","roles/foreign order; enum; concurrent status"
"FILE-015","Image visibility/mail","POST","/{locale}/orders/update/show_painter_images","OrdersController::show_painter_images","web request; order/show flag","orders flag + customer mail","no auth/role; repeat can resend mail","anonymous; replay; one-mail outbox; missing user"
"FILE-016","Painter cabinet upload","POST","/{locale}/update_painter_order_images","AccountController::update_painter_order_images","authenticated user; arbitrary order_id","public/orders + image row + order status + mail","route auth but no painter assignment/ownership check; max:9000000 KB is ineffective","assigned/unassigned painter; foreign order; real size cap; partial failure"
"FILE-017","Painter sketch upload","POST","/{locale}/update_painter_sketch_order_images","AccountController::update_painter_sketch_order_images","authenticated user; arbitrary order_id","public/orders + image row + order status + mail","route auth but no painter assignment/ownership; huge size allowance","assigned/unassigned painter; MIME; retry; mail failure"
"FILE-018","Client chat attachments","POST","/{locale}/send_client_painter_comments","AccountController::send_client_painter_comments","authenticated user; arbitrary order_id/files","public/uploads + orders.client_images + comments + mail","no order ownership; validator mixes image with pdf/fig; file/DB/mail non-atomic","owner/foreign order; valid PDF policy; multi-file failpoint"
"FILE-019","New account duplicate paths","POST","/{locale}/new/update_* and /new/new_send_*","Account\\AccountController methods","authenticated user; arbitrary order_id","same legacy tables/files/mail","duplicated handlers repeat same ownership and atomicity gaps","parity matrix old/new account; ownership; duplicate submit"
