methods,uri,name,handler,middleware,handler_exists,severity,finding,required_action,acceptance_test
GET,api/google-rating,,App\Http\Controllers\Api\GoogleRatingController@__invoke,api,yes,medium,Public API can amplify Google Places calls on uncached failures and debug mode returns provider errors.,"Add rate limit, negative-cache/backoff, response schema and debug-data suppression in production.","Fallback, cache hit/miss, provider failure/backoff, locale/filter and rate-limit tests."
GET,api/google-reviews,,App\Http\Controllers\Api\GoogleReviewsController@__invoke,api,yes,medium,Public API can amplify Google Places calls on uncached failures and debug mode returns provider errors.,"Add rate limit, negative-cache/backoff, response schema and debug-data suppression in production.","Fallback, cache hit/miss, provider failure/backoff, locale/filter and rate-limit tests."
POST,api/test/synvolve/order-capture,,App\Http\Controllers\Api\SynvolveTestWebhookController@captureOrder,api,yes,critical,"When feature flag is enabled, unauthenticated capture/latest endpoints store and disclose full payloads and append them to a log.","Keep disabled in production; require auth/IP allowlist, redact fields, cap size/retention, separate test environment.",Disabled=404; enabled requires auth; redaction/size/retention tests.
POST,api/test/synvolve/message-capture,,App\Http\Controllers\Api\SynvolveTestWebhookController@captureManagerMessage,api,yes,critical,"When feature flag is enabled, unauthenticated capture/latest endpoints store and disclose full payloads and append them to a log.","Keep disabled in production; require auth/IP allowlist, redact fields, cap size/retention, separate test environment.",Disabled=404; enabled requires auth; redaction/size/retention tests.
GET,api/test/synvolve/latest/{type?},,App\Http\Controllers\Api\SynvolveTestWebhookController@latest,api,yes,critical,"When feature flag is enabled, unauthenticated capture/latest endpoints store and disclose full payloads and append them to a log.","Keep disabled in production; require auth/IP allowlist, redact fields, cap size/retention, separate test environment.",Disabled=404; enabled requires auth; redaction/size/retention tests.
GET,admin/sitemap,,Closure,web,yes,high,No-op closure is outside admin.user middleware and prevents route caching.,Remove or place a real queued sitemap action behind Filament authorization.,Anonymous 404/403; authorized action audited; no closure routes.
GET,images_single/canvas.png,,Closure,web,yes,high,Closure route performs DB/media lookup and may fetch a generated URL over HTTP during request handling.,"Move to controller/service, local-disk-first resolution, strict URL allowlist, cache and bounded failure behavior.",Local/fallback/404/cache tests; no loopback or arbitrary outbound fetch.
GET,images_single/canvas-banner-img.png,,Closure,web,yes,high,Closure route performs DB/media lookup and may fetch a generated URL over HTTP during request handling.,"Move to controller/service, local-disk-first resolution, strict URL allowlist, cache and bounded failure behavior.",Local/fallback/404/cache tests; no loopback or arbitrary outbound fetch.
GET,img/canvas-banner-img.png,,Closure,web,yes,high,Closure route performs DB/media lookup and may fetch a generated URL over HTTP during request handling.,"Move to controller/service, local-disk-first resolution, strict URL allowlist, cache and bounded failure behavior.",Local/fallback/404/cache tests; no loopback or arbitrary outbound fetch.
GET,images_single/{slug}.png,,Closure,web,yes,high,Closure route performs DB/media lookup and may fetch a generated URL over HTTP during request handling.,"Move to controller/service, local-disk-first resolution, strict URL allowlist, cache and bounded failure behavior.",Local/fallback/404/cache tests; no loopback or arbitrary outbound fetch.
GET,images_single/{slug},,Closure,web,yes,high,Closure route performs DB/media lookup and may fetch a generated URL over HTTP during request handling.,"Move to controller/service, local-disk-first resolution, strict URL allowlist, cache and bounded failure behavior.",Local/fallback/404/cache tests; no loopback or arbitrary outbound fetch.
GET,images_single_debug/{slug},,Closure,web,yes,critical,Public debug response exposes filesystem/source paths and performs outbound URL probes.,Remove public debug route; move diagnostics behind admin authorization and URL allowlist.,Anonymous 404; no internal path/source URL in responses; SSRF regression tests.
GET|POST|PUT|PATCH|DELETE|OPTIONS,pl/{any?},,Closure,web,yes,high,Broad ANY catch-all redirects to Polish homepage without path/query and shadows all generated /pl redirect variants.,Define an approved cross-domain path mapping with GET/HEAD only and preserve query where allowed.,Representative static/dynamic/encoded/query URLs resolve in one hop to approved targets.
GET,robots.txt,main.robots.txt,App\Http\Controllers\RobotsController@mainRobots,web,yes,high,Default application route redirects to the same /robots.txt URL; behavior currently depends on web-server static-file precedence.,Serve one deterministic environment-aware robots response and one canonical sitemap URL.,Direct app request returns 200 text/plain without redirect; staging disallow and production sitemap tests.
GET,mail/test,,App\Http\Controllers\MailController@index,web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified,yes,critical,Public diagnostic/mail-preview endpoint; several actions contain hardcoded IDs/email and can mutate recovery token/coupon state.,Remove from production routes; retain authenticated non-production preview tooling with fixtures only.,Anonymous request is 404 in production; preview works with synthetic fixture in test environment.
