capability,legacy_write_paths,current_owner,shadow_mode,target_owner_gate,delta_and_reconciliation,cutover_unit,rollback_rule,status
catalog.item.core,"Voyager BREAD; custom admin catalogue controllers",Legacy admin,"Filament read-only; compare fields and relations","Filament only after field/action ACL and UAT","PK set + canonical field hash + relation counts + orphan report",catalogue item core,"Disable target writer; preserve committed rows; reconcile then return exact legacy actions",draft
catalog.classification,"Voyager BREAD; custom admin CRUD for categories/types/colors/rooms/styles/genres",Legacy admin,"Read-only resources and lookup parity","Filament after dependency ordering and orphan policy","Full PK/hash for lookup tables; full pivot PK/hash/anti-join",classification and pivots,"Return module owner only after forward reconciliation; never restore old dump",draft
catalog.pricing_options,"gallery item price fields; sizes/options/country/session rules; custom calculators",Legacy application,"Target calculation shadow comparison only","Single domain pricing service after characterization and business sign-off","Canonical input/output fixture matrix; row/hash diff; country and locale price samples",pricing domain,"Target pricing off; legacy calculator remains owner; no mixed calculation paths",draft
catalog.service_catalog,"newhome_services; translations; SA catalogue projection",Legacy admin/API,"Read-only API/resource parity","Target service after ru/uk/en API fallback and public locale rules are signed","PK/hash + translated-field matrix + SA contract snapshot",service catalogue,"Disable target writes/projection; reconcile source IDs before legacy return",draft
content.menu_navigation,"header_menu; menus; menu_items; translated labels and URLs",Legacy admin,"Read-only tree rendering for all public locales","Filament after hierarchy/order/visibility parity","Full tree export + PK/hash + parent/orphan/order diff + URL smoke",menu tree,"Re-enable exact legacy module after preserving target rows and tree diff",draft
content.pages_singletons,"pages; homepage and other singleton content tables; Voyager BREAD",Legacy admin,"Read-only page preview against frozen frontend","Filament after per-table field/action manifest","PK/hash; localized rendered route checklist; timestamp-less tables use full diff",page module,"Target writer off; forward reconcile; return module owner",draft
content.blog_voyager,"blog_posts; blog_categories; Voyager BREAD",Legacy admin,"Read-only list/edit preview","Filament after slug/category/translation/API parity","PK/hash + category relation + translation rows + public URL checks",blog admin,"Disable target writer and reconcile committed posts/translations",draft
content.blog_api,"BlogIntegrationController direct writes and translation upserts",Legacy integration API,"Contract tests against sanitized staging","Laravel 13 API adapter after auth/idempotency and shared owner decision","Request receipt + parent PK/hash + translations composite-key/hash",blog API,"Target API off; legacy API returns only after receipt reconciliation",draft
translation.base_fields,"name/title/body/slug/meta columns in source tables",Owner of parent content capability,"Read-only localized projection","Switch atomically with its parent module","Parent PK/hash plus expected locale matrix; never reconcile by text only",same parent capability,"Rollback parent capability and its translations together",draft
translation.voyager_db,"translations(table_name,column_name,foreign_key,locale)",Legacy Voyager/custom/API writers,"Target reads same rows; no writes","Target adapter only with parent capability owner","Composite key + canonical value hash + full delete/parent anti-join; updated_at is hint",per parent content module,"Target translation writes off with parent; preserve rows; forward reconcile",draft
translation.ltm_db,"Translation Manager edit/import/find/delete and auto-translate",Legacy Translation Manager,"Read-only inventory and file-vs-DB comparison","One target dictionary workflow after production duplicate audit and publish rehearsal","Key(locale,group,key) + value/status hash; full anti-join; do not trust timestamp alone",dictionary workflow,"Stop target publish; retain DB rows and reconcile to last versioned artifact",draft
translation.php_files_manager,"Translation Manager publish to resources/lang/{locale}/{group}.php",Legacy Translation Manager,"Generate only outside live path and compare manifest","Versioned artifact publisher after single-writer gate","relative path + size + SHA-256 + PHP lint + locale/group manifest",all dictionary files,"Activate previous artifact only after preserving/reconciling newer edits",draft
