"ID","Capability","Current writer","Current sources","Shadow target","Cutover target","Delta/reconciliation key","Delete semantics","Stop condition","Rollback owner"
"WO-001","order.create.public","Laravel 6 public checkout","orders; users; coupons; order_action; files; mail; Synvolve","Laravel 13 read-only fixtures","Legacy until separate domain cutover","orders PK/full canonical hash + files manifest + checkout idempotency","no delete during create","duplicate order or mismatched total/files/side effects","Legacy public checkout"
"WO-002","order.create.admin","Legacy Admin OrdersController","orders; users; coupons; order_action; files; mail; Synvolve","Filament read-only form/differential preview","Filament specialized Page/Action","orders.id + channel fixture + canonical hash","physical delete prohibited during wave","different total/status/user/files or unowned route","Legacy admin create route"
"WO-003","order.create.sa","Legacy SA API","orders; sa_events; sa_conversations; sa_messages; files","Laravel 13 contract shadow","Laravel 13 SA adapter","event_id/dedupe_key + orders.id=lead_id + hash","temporary/real lead mapping retained","duplicate event/order or lead_id mismatch","Legacy SA API"
"WO-004","order.edit.core","Legacy admin/account controllers","orders items/price/delivery/comments/files","Filament read-only Resource","Filament specialized order editor","orders PK/full hash + optimistic version","archive/tombstone only","lost update or field outside signed manifest","Legacy admin editor"
"WO-005","order.status.transition","Legacy OrdersController/model","orders.status and status dates; mail/CRM","Target state service shadow","Laravel 13 state service","order_id + from/to + mutation_id","no physical delete","unknown/invalid transition or duplicate side effect","Legacy status route"
"WO-006","order.fulfilment.files","Legacy admin/account/Venipak/PDF","orders labels/items/file fields; filesystem","Target read-only artifact manifest","Dedicated target services by sub-capability","order_id + artifact path/size/hash + provider attempt","tombstone/retention receipt","missing/extra file; unknown provider outcome","Legacy file/delivery handlers"
"WO-007","payment.paysera.callback","Legacy Paysera controller","orders.payment_status; Synvolve","Sandbox/fake shadow only","Laravel 13 payment adapter last wave","provider receipt + order_id + exact amount/currency","not applicable","unknown outcome; duplicate or amount/currency mismatch","Legacy callback after receipt reconciliation"
"WO-008","payment.paypal.callback","Legacy PayPal controller/service","orders.payment_status; billing_invoice_uuid; Synvolve","Sandbox/fake shadow only","Laravel 13 payment adapter last wave","capture ID + order/reference + exact amount/currency/status","not applicable","capture status/receipt mismatch or duplicate","Legacy callback after receipt reconciliation"
"WO-009","payment.manual.transition","Legacy OrdersController","orders; users bonuses; coupons; gift PDF; mail; Synvolve","Filament action disabled/read-only","Filament policy action","mutation_id + actor + order + from/to + receipt set","not applicable","replay repeats bonus/coupon/PDF/mail","Legacy manual route"
"WO-010","payment.request","Legacy OrderPaymentRequestService","order_payment_requests; gateway IDs","Filament read-only list","Laravel 13 payment request service","public_number/token hash + amount/currency/status/paid_at","retain/expire; no hard delete during wave","request/order/provider totals differ","Legacy payment-request service"
"WO-011","chat.client_manager","Legacy account/admin/SA mirror","order_user_comments; files; mail; Synvolve","Normalized read-only adapter","Laravel 13 client-chat adapter","source_table/source_id + client_message_id + order + artifact hash","retain; moderation tombstone only","duplicate message/side effect; wrong actor/order/read flags","Legacy client chat routes"
"WO-012","chat.painter_admin","Legacy account/admin","orders_chats; mail; Synvolve","Normalized read-only adapter","Laravel 13 painter-chat adapter","source_table/source_id + order + actor/direction + hash","retain; no destructive merge","wrong stream/actor or duplicate/missing message","Legacy painter/admin chat routes"
"WO-013","chat.internal_admin","Legacy VoyagerAdminController","order_admin_comments","Filament read-only relation","Filament internal notes action","source_table/source_id + order + author + hash","retain/archive only","unauthorized writer or lost/changed author","Legacy internal note route"
"WO-014","chat.legacy_painter_note","Legacy AccountController","order_painter_comments","Read-only adapter","Read-only until owner decision","source_table/source_id + order + timestamp/hash","retain unchanged","target invents author/direction or deletes row","Legacy read adapter"
"WO-015","chat.sa_ledger","Legacy SA integration","sa_events; sa_conversations; sa_messages; sa_escalations","Replay/read shadow","Laravel 13 SA adapter","unique event/message/conversation IDs + status/outbox","retention policy; no text/time merge","dedupe/replay/order link mismatch","Legacy SA integration"
