"ID","Area","Entry point","Current auth","Required actor/owner","Input authority","Write/side effect","Current control","Gap","Target contract","Required tests","Risk"
"AA-001","Auth","POST /login","framework guest/throttle","anonymous","email/password","session login","framework validation, throttle, session regenerate","coexists with weaker custom login","one canonical login service and response contract","success, failure, throttle, regeneration, disabled user","R-59"
"AA-002","Auth","POST custom_login_ajax","web only","anonymous","email/password","session login, abandoned-cart save","Auth::attempt","no throttle, no validation, no session regeneration","canonical throttled login; regenerate session; typed JSON/HTTP status","bruteforce, fixation, malformed email, DB/mail failure","R-59"
"AA-003","Registration","POST /register","guest","anonymous","email/password","user creation, login, mail","min 8, unique email","bypasses custom reCAPTCHA/consent and no verified gate","single registration policy with captcha/rate/consent/verification","route bypass, duplicate, bot burst, verification","R-59"
"AA-004","Registration","POST custom_register_ajax","web only","anonymous","profile/password/captcha","user creation, login, plaintext-password email","FormRequest and reCAPTCHA success","min 6, no session regenerate, synchronous external/mail, plaintext password","password never emailed; canonical policy; outbox; regenerate","captcha timeout/error, weak password, fixation, mail failure","R-59"
"AA-005","Recovery","POST password/email","web","anonymous","email","reset token/email","framework broker","account enumeration and HTTP throttling must be characterized","generic response, per-IP/account throttle, audit","known/unknown email, reuse, expiry, throttle","R-59"
"AA-006","Recovery","POST user/forget_email","web only","anonymous","email","reset token/email","PasswordBroker","different known/unknown JSON; incomplete status mapping; no route throttle","same canonical recovery contract","known/unknown, RESET_THROTTLED, mail failure","R-59"
"AA-007","Session","POST /logout","auth/session","current user","CSRF","logout/session invalidation","framework trait","parallel login paths must converge on same lifecycle","invalidate session, rotate CSRF, revoke remember as policy","logout replay, back navigation, concurrent sessions","R-59"
"AA-008","Password","POST ajax_change_information","auth","current user","old/new/profile fields","password/profile update","Auth::id","old controller does not verify old password or strength","recent-password check, strength, audit, revoke other sessions","wrong old password, weak password, other sessions","R-59"
"AA-009","Password","POST new/ajax_change_information","auth","current user","old/new/profile fields","password/profile update","old password and confirmation","no min/strength/recent-confirm/session revocation","typed FormRequest and security event contract","weak/compromised password, no-op, session revocation","R-59"
"AA-010","Session","web middleware/config","all authenticated actors","cookie/session config","session persistence","encrypted database session, HttpOnly","Secure defaults false, SameSite null, AuthenticateSession disabled","environment-specific secure cookie baseline and revocation","cookie flags, fixation, role/password change","R-65"
"AA-011","OAuth","GET auth/facebook/redirect","web","anonymous","return URL/session","provider redirect","UI enable flag only","route does not enforce disabled provider; return validation weak","provider registry + strict relative/same-origin allowlist","disabled provider, evil host/prefix/protocol-relative","R-60"
"AA-012","OAuth","GET auth/facebook/callback","web/stateless","provider callback","provider payload/session","login/create/update user","try/catch and email presence","no state, provider subject/link record or verified-email evidence","stateful callback, identity row, explicit collision/link flow","state mismatch, no email, collision, disabled user","R-60"
"AA-013","OAuth","GET auth/google/redirect","web","anonymous","return URL/session","provider redirect","scopes and select_account","same return/session risks","provider registry + strict allowlist","locale routes, evil return, disabled provider","R-60"
"AA-014","OAuth","GET auth/google/callback","web/stateless","provider callback","provider payload/session","login/create/update user","email required","no state/provider identity; existing user fields overwritten","stateful identity contract and preserved profile preferences","changed email, same subject, collision, no email","R-60"
"AA-015","OAuth","putIntended return URL","anonymous","same application","query return/referrer","post-login redirect/session context","string prefix check","prefix-lookalike and protocol-relative values not strictly rejected","parse and compare scheme/host/port or accept relative route IDs only","open redirect corpus and callback loop","R-60"
"AA-016","Identity","OAuth firstOrCreate by email","provider user","verified linked identity","email","account login/link","users.email lookup","email is sole provider key; no link/unlink audit","unique provider+subject; confirm email collision","two providers same email; provider email change","R-60"
"AA-017","User lookup","POST admin/check-user","web only","authorized staff only","email substring/form","returns users JSON","CSRF only","raw DB rows may expose hashes/tokens/PII; no auth/rate/limit","deny by default; permission; DTO allowlist; exact normalized lookup","anonymous/wrong role, fuzzy dump, response field allowlist","R-56"
"AA-018","Account read","GET new/orders as client","auth","order owner","current user","order/chat read","orders.user_id scope","must preserve exact scope in target","OrderPolicy and owner query scope","own/foreign/missing order","R-57"
"AA-019","Account read","GET new/orders as painter","auth","assigned painter","painter_orders assignment","operational order read","assignment scope","role string and projection contract need formalization","PainterOrderPolicy with field-level projection","assigned/unassigned/completed/paid","R-57"
"AA-020","Legacy account","old /account POST routes","auth","typed actor and owner","request IDs","chat/file/profile writes","only /account GET redirects","old mutation routes remain callable","deprecate only after access logs/characterization; same policies now","direct old endpoint calls for every role","R-57"
"AA-021","Payment","new/orders/{order}/payment","auth","client owner; not painter","route order ID/payment method","payment initiation","id+user_id resolver, painter 404, allowlist","positive baseline must not regress","preserve OrderPolicy and payment idempotency","existing 3 tests plus anonymous/role/concurrency","R-57"
"AA-022","Files","POST update_painter_order_images","auth","assigned painter or permitted staff","order_id/files","file + order status + email","MIME extension check","no role/order assignment; validation after arbitrary order load","authorize order before file parsing/storage","client/wrong painter/foreign order/oversize","R-57"
"AA-023","Files","POST new/update_painter_order_images","auth","assigned painter or permitted staff","order_id/files","file + DB + email","same legacy service","no ownership and unreasonable max size","Policy, private storage, quota, receipt","foreign order, collision, partial write","R-57"
"AA-024","Files","POST new/update_painter_sketch_order_images","auth","assigned painter or permitted staff","order_id/files","file + DB + email","extension/MIME check","no assignment/ownership; predictable overwrite semantics","Policy before storage; immutable version receipt","foreign order, duplicate filename, concurrent upload","R-57"
"AA-025","Status","POST new/changeOrderPainterImageStatus","auth","client owner or permitted staff per transition","order_id,image_id,status_name,check_comment","image status update","optional recent-comment check","no order ownership, actor role, status allowlist or transition state machine","Policy + same-order image scope + enum transition","foreign image, forged status, skipped comment","R-57"
"AA-026","Legacy painter note","POST update_painter_comment","auth","assigned painter","order_id/comment","order_painter_comments + email","CSRF/auth","no assignment, sender, validation or length","typed legacy_painter_note adapter with sender","client call, wrong painter, foreign order, long text","R-57"
"AA-027","Client chat","POST send_client_painter_comments","auth","client owner or assigned painter by explicit stream","order_id/text/files","order_user_comments/files/email","Auth::id recorded","old path lacks order/role/image ownership","Policy-approved conversation and typed sender","client foreign order, painter misuse, duplicate","R-57"
"AA-028","Client chat","POST new/new_send_client_painter_comments","auth","client owner or assigned painter by explicit stream","order_id/text/files/image flags","order_user_comments/files/email","Auth::id and read flags","no owner/role/image scope; sender meaning inferred later","conversation policy + immutable sender/direction","all roles, foreign order/image, flags","R-57"
"AA-029","Admin-to-client","POST new/new_send_admin_to_client_painter_comments","auth","manager/admin with permission","order_id/text/files/image flags","is_admin row, customer email, Synvolve","auth only","any authenticated user can impersonate admin and trigger external side effect","permission + order scope + outbox + audit","client/painter denial and zero side effects","R-58"
"AA-030","Painter-admin chat","POST new/update_order_chat","auth","assigned painter","order_id/text/image flags","orders_chats + admin email","is_admin=0","client can call; painter assignment not checked; no sender ID","painter_admin conversation policy and sender ID","client/wrong painter/foreign order","R-57"
"AA-031","Admin-painter chat","POST admin/update_order_chat_ajax","controller auth","manager/admin with permission","order_id/text/image_type","orders_chats, painter email, Synvolve","auth constructor","any authenticated user; dynamic column; no ownership/idempotency","admin permission + typed image enum + outbox","client denial, invalid column, duplicate","R-58"
"AA-032","Internal admin chat","POST admin/update_admin_chat_ajax","controller auth","authorized internal staff","order_id/text","order_admin_comments","Auth::id stored","no admin role/order permission or validation","internal-note policy, immutable author, audit","client/painter denial, foreign order, long text","R-58"
"AA-033","Read receipt","POST new/message_read","auth","message viewer","chatId and current role","is_read update","role selects table","no message/order scope; arbitrary ID","stream+message scoped idempotent receipt","foreign chat ID, wrong stream, replay","R-57"
