id,legacy_methods,legacy_uri,legacy_handler,operation,risk,legacy_static_acl,legacy_role_check,target_surface,proposed_target_class,module,wave,authorization_contract,http_contract,idempotency_contract,audit_contract,required_tests,cutover_contract,disposition
FIL-ROUTE-001,GET,admin/user_images/{path},Closure,read file,High,no static auth,none,Secured File Action/Controller,App\Filament\Clusters\Crm\Actions\OrderFileAction,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous traversal/encoded path and private-file disclosure; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_with_file_policy
FIL-ROUTE-002,GET,admin/gallery-items/{path},Closure,read file,High,no static auth,none,Secured File Action/Controller,App\Filament\Clusters\Crm\Actions\OrderFileAction,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous traversal/encoded path and private-file disclosure; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_with_file_policy
FIL-ROUTE-003,GET,admin/login,VoyagerAuthController@login,login form,Low,public expected,n/a,Panel authentication,App\Providers\Filament\AdminPanelProvider,Foundation,0-foundation,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous 200 and authenticated redirect; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,replace_with_filament_auth_route
FIL-ROUTE-004,POST,admin/login,VoyagerAuthController@postLogin,authenticate,Medium,public expected,n/a,Panel authentication,App\Providers\Filament\AdminPanelProvider,Foundation,0-foundation,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII","CSRF, throttling, invalid credentials and session fixation; wrong-role; direct URL; Livewire action; duplicate/failure where mutating",Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,replace_with_filament_auth_route
FIL-ROUTE-005,GET,admin/orders/{id},Admin\\OrdersController@edit_admin_order,read order/customer data,Critical,no static auth,none,Order Resource Page/Action,App\Filament\Clusters\Crm\Resources\OrderResource,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role/foreign-order deny; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-006,GET,admin/orders/{id}/edit,Admin\\OrdersController@edit_admin_order,read order/customer data,Critical,no static auth,none,Order Resource Page/Action,App\Filament\Clusters\Crm\Resources\OrderResource,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role/foreign-order deny; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-007,GET,admin/voyager-assets,VoyagerController@assets,serve package asset,Low,public expected,n/a,Filament asset pipeline,AdminPanelProvider/theme manifest,Foundation,0-foundation,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",allow only known package assets; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,retire_after_voyager_shutdown
FIL-ROUTE-008,GET,admin/sitemap,Closure,redirect back,Low,no static auth,none,No panel feature,n/a,Legacy,7-content-seo,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,GET read-only; no hidden mutation/mark-read unless explicit POST receipt,Not required for pure read; still rate-limit sensitive queries,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",confirm unused or restrict/remove; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,retire_redirect_after_usage_check
FIL-ROUTE-009,ANY,admin/image_gen_by_order_id/{id},Admin\\ImageGenController@image_gen_by_order_id,write/overwrite derived files,Critical,no static auth,none,Secured File Action/Controller,App\Filament\Clusters\Crm\Actions\OrderFileAction,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; GET must not mutate; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_with_file_policy
FIL-ROUTE-010,POST,admin/user/change-pdf-locale,Admin\\OrdersController@changePdfLocale,update user pdf locale,High,no static auth,none,Custom Action/Page,App\Filament\Pages\Legacy\Update user pdf locale,Legacy,7-content-seo,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",anonymous/wrong-role deny; locale allowlist; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,needs_manual_target_review
FIL-ROUTE-011,ANY,admin/upload/tinyimage,Admin\\VoyagerAdminController@tiny_upload,upload public file,Critical,controller auth,none,Secured File Action/Controller,App\Filament\Clusters\Crm\Actions\OrderFileAction,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII","wrong-role, MIME/size/name collision and executable upload; wrong-role; direct URL; Livewire action; duplicate/failure where mutating",Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_with_file_policy
FIL-ROUTE-012,POST,admin/delete_order_image,Admin\\VoyagerAdminController@delete_order_image,delete order image/reference,Critical,controller auth,none,Secured File Action/Controller,App\Filament\Clusters\Crm\Actions\OrderFileAction,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",wrong-role and foreign-order/file deny; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate_with_file_policy
FIL-ROUTE-013,POST,admin/update/painter/orders,Admin\\VoyagerAdminController@update_painter_orders,change painter assignments,High,controller auth,none,Order Resource Page/Action,App\Filament\Clusters\Crm\Resources\OrderResource,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",8-role action matrix and order scope; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
FIL-ROUTE-014,GET,admin/users/{painter_id}/remove/{order_id},Admin\\VoyagerAdminController@remove_order_painter,delete painter assignment,High,controller auth,none,Order Resource Page/Action,App\Filament\Clusters\Crm\Resources\OrderResource,Заказы и CRM,1-orders-crm,canAccessPanel + scoped query/record Policy + explicit Action authorization; visibility is not authorization; preserve intended legacy roles only,POST/PATCH/DELETE + CSRF; never GET/ANY mutation,Required: unique operation key/receipt and safe duplicate result,"actor, role, target IDs, request/operation ID, before/after or receipt, outcome; redact secrets/PII",GET no mutation; wrong-role deny; wrong-role; direct URL; Livewire action; duplicate/failure where mutating,Legacy remains writer until target PASS; switch route/action owner by feature flag; reconcile resulting data/side effects,migrate
