"ID","Контур","Method","Route/trigger","Handler","Authority/input","Writes/side effects","Подтверждённый риск","Обязательная проверка"
"PAY-001","Checkout Paysera","CALL","Paysera create","PayseraController::index","local amount/order/customer","provider redirect","hardcoded signing credential; test=0; direct exit","secret rotation; sandbox config"
"PAY-002","Checkout Paysera","GET","pay_accept","PayseraController::pay_accept","signed browser return","orders.payment_status; Synvolve; redirect","amount/currency unchecked; duplicate authority","mismatch; accept/callback ordering"
"PAY-003","Checkout Paysera","GET","pay_cancel","PayseraController::pay_cancel","signed browser return","can set paid; Synvolve; redirect","cancel copies success handler","cancel success/failure payload matrix"
"PAY-004","Checkout Paysera","GET","pay_callback","PayseraController::pay_callback","signed provider callback","orders.payment_status; Synvolve","no receipt/idempotency/amount check; raw error","duplicate/concurrent callback"
"PAY-005","Checkout Paysera","CALL","isPaymentValid","PayseraController::isPaymentValid","expected vs response amount/currency","none","helper exists but is never called","prove invocation in target adapter"
"PAY-006","Checkout PayPal","CALL","create provider order","OneTimePayPalService::getRequisites","local payable amount/reference","provider order; billing_invoice_uuid; redirect","attempt history overwritten; response/log contract","repeat start/provider create failure"
"PAY-007","Checkout PayPal","ANY","paypal/pay_accept","OneTimePayPalController::pay_accept","browser token + provider capture","orders.payment_status; Synvolve; thanks redirect","capture body ignored; extra HTTP methods","status/amount/currency/reference/receipt"
"PAY-008","Checkout PayPal","ANY","paypal/pay_cancel","OneTimePayPalController::pay_cancel","browser token","thanks redirect","unknown/overwritten token null dereference","old/new token and unknown token"
"PAY-009","Checkout PayPal","CALL","capture","OneTimePayPalService::checkPayment","provider order ID","provider capture; logs","any non-exception=true; no receipt persisted","COMPLETED/declined/duplicate response"
"PAY-010","Checkout","GET","save_order_and_pay","OrdersController::save_order_and_pay","session basket/delivery/payment","order then provider redirect","order exists before provider attempt; GET replay","refresh/back/provider create failure"
"PAY-011","Checkout","CALL","Paysera payload","OrdersController::handlePayseraMethods","basket sale+terms+delivery","provider redirect","separate payable calculator","golden amount matrix"
"PAY-012","Account","GET","new/orders/{order}/payment","AccountController::order_payment","owned order","render","view has separate amount calculator","view vs provider amount equality"
"PAY-013","Account","POST","new/orders/{order}/payment","AccountController::start_order_payment","auth owner + method allowlist","order payment method; provider create","provider failure leaves method changed","ownership/status/provider fail"
"PAY-014","Account","CALL","ClientOrderPaymentService::buildGatewayPayload","order price/sales/items/delivery","provider payload","sale_price=0 ignored; possible stacked discounts","all discounts and 100% sale"
"PAY-015","Payment request","POST","admin/orders/{order}/payment-requests","Admin OrderPaymentRequestController::store","admin/manager amount/purpose","order_payment_requests","multiple/overpayment policy absent","ACL and balance policy"
"PAY-016","Payment request","GET","payment-request/{token}","OrderPaymentRequestController::show","secret token","render","no expiry; PII/guess/leak review","expired/revoked/token exposure"
"PAY-017","Payment request","POST","payment-request/{token}","OrderPaymentRequestController::start","token + method allowlist","selected method; provider create","unlimited attempts; provider ID overwrite","rate/restart/expired"
"PAY-018","Payment request Paysera","ANY","payment-request/paysera/accept","OrderPaymentRequestController::payseraAccept","signed browser return/public number","request paid_at/status","amount/currency unchecked; accept authority","mismatch and duplicate"
"PAY-019","Payment request Paysera","ANY","payment-request/paysera/cancel","OrderPaymentRequestController::payseraCancel","unsigned orderid for redirect","flash redirect","extra methods; public-number disclosure behavior","unknown/tampered orderid"
"PAY-020","Payment request Paysera","ANY","payment-request/paysera/callback","OrderPaymentRequestController::payseraCallback","signed callback/public number","request paid_at/status","no receipt/amount check; raw error","exact OK; mismatch; duplicate"
"PAY-021","Payment request PayPal","ANY","payment-request/paypal/pay_accept","OrderPaymentRequestController::paypalAccept","billing invoice token + capture","request paid_at/status","capture response ignored; provider ID overwrite","response/duplicate/old token"
"PAY-022","Payment request PayPal","ANY","payment-request/paypal/pay_cancel","OrderPaymentRequestController::paypalCancel","billing invoice token","flash redirect","unknown token 404; no attempt state","cancel/expired/old token"
"PAY-023","Payment request","CALL","markAsPaid","OrderPaymentRequestService::markAsPaid","request current status","status/paid_at","no atomic receipt claim; parent order unchanged","concurrency and Finance policy"
"PAY-024","Manual status","POST","orders/change/payment","OrdersController::changeOrderPayment","order_id + arbitrary string","status; bonus; coupons; PDFs; mails; Synvolve","no auth/role; replay duplicates financial side effects","full ACL/status/replay matrix"
"PAY-025","Presentation","GET","thanks?order_id","StaticPagesController::thanks","public numeric order id","Payment_successful mail","refresh sends mail again; ownership/PII risk","refresh/crawler/foreign order"
"PAY-026","Data","DB","orders.billing_invoice_uuid","orders column","last PayPal order ID","overwritten mutable identifier","not unique; no provider receipt history","duplicate/orphan/reconciliation"
"PAY-027","Data","DB","order_payment_requests","OrderPaymentRequest","amount/status/provider ID","pending/paid state","no expiry/refund/collected balance","state-machine migration"
"PAY-028","Side effect","EVENT","payment status transition","mail/gift/bonus/Synvolve","local transition","external/local side effects","different handlers execute different effects","one outbox event per transition"
"PAY-029","Operations","JOB","provider reconciliation","missing","provider reports vs local DB","none currently","paid/local-pending remains unresolved","daily reconciliation fixture"
"PAY-030","Production","CONFIG","credentials and callbacks","env/code/provider dashboard","secret + URLs + modes","live money movement","hardcoded Paysera secret; incomplete env example","rotate; inventory; sandbox/live gate"
