layer,locale,scope,owner_decision,decision_owner,decision_date,status,required_acceptance
ltm_translations,de,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,header sale text/link/markup per locale
PHP file,de,account_new.orders.not_specified,retain dormant,programmer,2026-07-17,approved pending UAT,account empty-field/fallback scenarios
PHP file,de,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,public header/footer and locale navigation
ltm_translations,ee,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,header sale text/link/markup per locale
PHP file,ee,account_new.orders.not_specified,retain dormant,programmer,2026-07-17,approved pending UAT,account empty-field/fallback scenarios
PHP file,ee,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,public header/footer and locale navigation
ltm_translations,en,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,header sale text/link/markup per locale
PHP file,en,account_new.orders.not_specified,retain dormant,programmer,2026-07-17,approved pending UAT,account empty-field/fallback scenarios
PHP file,en,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,public header/footer and locale navigation
ltm_translations,et,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,header sale text/link/markup per locale
PHP file,et,account_new.orders.not_specified,retain dormant,programmer,2026-07-17,approved pending UAT,account empty-field/fallback scenarios
PHP file,et,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,public header/footer and locale navigation
ltm_translations,lt,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,header sale text/link/markup per locale
PHP file,lt,account_new.orders.not_specified,retain dormant,programmer,2026-07-17,approved pending UAT,account empty-field/fallback scenarios
PHP file,lt,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,public header/footer and locale navigation
ltm_translations,lv,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,header sale text/link/markup per locale
PHP file,lv,account_new.orders.not_specified,retain dormant,programmer,2026-07-17,approved pending UAT,account empty-field/fallback scenarios
PHP file,lv,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,public header/footer and locale navigation
ltm_translations,pl,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,header sale text/link/markup per locale
PHP file,pl,account_new.orders.not_specified,retain dormant,programmer,2026-07-17,approved pending UAT,account empty-field/fallback scenarios
PHP file,pl,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,public header/footer and locale navigation
ltm_translations,ru,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,header sale text/link/markup per locale
PHP file,ru,account_new.orders.not_specified,retain dormant,programmer,2026-07-17,approved pending UAT,account empty-field/fallback scenarios
PHP file,ru,header_footer_new.header.top_sale,production wins,programmer,2026-07-17,approved pending UAT,public header/footer and locale navigation
PHP file,ru,account_new.orders.user_status.print_text,production wins,programmer,2026-07-17,approved pending UAT,RU account order user-status screen
PHP file,cn,google_reviews.php,archive and do not activate,programmer,2026-07-17,approved pending usage proof,CN file retained until archive/retire gate
PHP file,jp,google_reviews.php,archive and do not activate,programmer,2026-07-17,approved pending usage proof,JP file retained until archive/retire gate
