"id","area","entrypoint","actor_owner","input_or_trigger","state_before","side_effects","current_control","gap","target_contract","tests","risk"
"MQ-001","Mail runtime","AppServiceProvider::boot","platform","every app/CLI boot","SwiftMailer transport","changes SMTP localDomain","type check","SwiftMailer removed; purpose unverified","Symfony Mailer typed transport config or remove customization","boot under L8-L13; provider EHLO fixture","R-67"
"MQ-002","SMTP","config/mail.php stream","DevOps/Security","every SMTP connection","TLS config","transport security","config file","peer/name verification disabled; self-signed allowed","TLS verify on; CA/host policy; secret store","invalid cert/name/self-signed/timeout","R-67"
"MQ-003","Queue","QUEUE_CONNECTION","DevOps","dispatch/mail queue","sync default","runs job in caller","env config","request blocking; no durable queue attempt","managed queue per purpose; documented worker","sync/database/redis parity","R-69"
"MQ-004","Queue storage","jobs table","DevOps","queued job","0 local rows","durable pending/reserved row","migration exists","empty table proves nothing about production worker","queue age/reserved metrics and retention","enqueue/reserve/retry/restart","R-69"
"MQ-005","Failed jobs","failed_jobs table","DevOps","terminal job failure","0 local rows","failure evidence","database driver","no retry/forget/alert/runbook evidence","failed ledger, alert, retry approval and purge policy","poison job/retry/forget","R-69"
"MQ-006","Cache/locks","CACHE_DRIVER=file","DevOps","withoutOverlapping","local filesystem cache","scheduler mutex","framework mutex","not shared across hosts","distributed lock store + one-server owner","two-host overlap/stale lock","R-70"
"MQ-007","Timezone","app timezone Europe/Riga","Business/DevOps","scheduler and mail dates","implicit app timezone","due-time calculation","config/app","no per-command timezone/DST sign-off","explicit business timezone and UTC ledger","DST/boundary/release timezone","R-70"
"MQ-008","Mail telemetry","MessageSending listener","Security/Operations","each mail","message object","logs recipients+subject","mail channel","PII; no event/template ID","redacted structured intent/attempt telemetry","PII redaction/multiple recipients","R-75"
"MQ-009","Mail telemetry","MessageSent listener","Operations","transport accepted","message object","logs success","mail event","not provider delivery; no provider ID","accepted state + provider receipt lifecycle","accepted then bounce/unknown","R-69"
"MQ-010","Mail log","single mail.log","Operations/DPO","mail events","single file","PII retention","logging channel","no rotation/retention","daily/centralized protected log with retention","rotation/access/retention","R-75"
"MQ-011","Scheduler","schedule:run external cron","DevOps","each minute","unknown production topology","launches due commands","repository schedule only","cron owner/hosts/last success unknown","one declared owner + heartbeat","missing/double cron host","R-70"
"MQ-012","Scheduler lock","withoutOverlapping default","DevOps","all five events","1440-minute default TTL","skips overlapping command","framework mutex","TTL not tuned; file lock host-local","per-command TTL + distributed lock + alert","crash/stale lock/manual clear","R-70"
"MQ-013","Scheduler observability","all events","Operations","command completion","no heartbeat table","console/log only","some command info logs","no duration/last-success/SLA alert","scheduled_run ledger and metrics","success/failure/hang alert","R-70"
"MQ-014","Scheduler rollout","old/new releases","Release owner","deploy while command due","two code versions","may run same business batch","none found","dual scheduler/worker risk","atomic owner switch and compatibility window","deploy-at-boundary rollback","R-70"
"MQ-015","Marketing schedule","UserNotify:cron","Marketing","daily","active date coupons","email + order_action","withoutOverlapping","no campaign receipt/consent","campaign claim, suppression and provider receipt","duplicate/day retry/consent","R-72"
"MQ-016","Overdue schedule","orders:notify-overdue-delay","Operations","daily 18:00","unmarked nonfinal orders","email + marker + logs","withoutOverlapping","send-before-marker; first-run batch","atomic claim/outbox/max batch","boundary/concurrency/crash","R-73"
"MQ-017","Cart schedule","cart:send-recovery-emails","Marketing","hourly","stale carts","delete/token/mail","withoutOverlapping","cleanup before delivery; token before enqueue","campaign state machine/outbox","cleanup/enqueue failure/race","R-71"
"MQ-018","Cart coupon schedule","cart:send-recovery-emails-coupons","Marketing","hourly","first flag/token/coupon flag","coupon/mail/flag","withoutOverlapping","coupon before try; sent means queued; expired token","unique campaign claim + receipt","expired token/queue fail/retry","R-71"
"MQ-019","Media schedule","GenSmallImages:run","Media/Operations","daily","image rows without small image","file+DB flags","withoutOverlapping","non-atomic; permanent transient error; all rows load","chunked artifact receipt/atomic publish","missing mount/disk full/crash","R-77"
"MQ-020","Cross-command lock","two cart commands","Marketing","same hourly tick","same carts","cleanup/token/coupon","separate mutex names","no shared business claim","row/campaign claim and ordered pipeline","two hosts/two commands/manual run","R-71"
"MQ-021","Cart cleanup","first command cleanup","Marketing/DPO","older than 7 days","209 local rows","deletes carts","try per delete","deletes unsent/failed without lifecycle","retention by terminal state + audit","unsent/queued/failed/legal hold","R-71"
"MQ-022","First cart eligibility","stale >12h null token","Marketing","hourly query","190 shape; 108 after paid filter","generates token","paid-order reject","no consent/max batch/claim","eligible claim with consent snapshot","guest/user/paid/news NO","R-71"
"MQ-023","Recovery token","generateRecoveryToken","Customer/Marketing","first campaign","null token","writes token/expiry/flags","unique token column","write before enqueue; failure suppresses retry","transactional intent + signed opaque token","save/enqueue/provider failures","R-71"
"MQ-024","First cart mail","Mail::queue AbandonedCartMail","Marketing","per cart","saved token","SMTP/enqueue","try/catch","sync/async semantics differ; no receipt","after-commit outbox + deterministic ID","sync/database/provider timeout","R-71"
"MQ-025","Coupon generation","generateCouponUser","Marketing/Finance","24h campaign","existing token","creates coupon","repository","outside try/claim; duplicate possible","unique campaign coupon receipt","concurrent/retry/crash","R-71"
"MQ-026","Coupon sent flag","is_coupon_sent=true","Marketing","after queue call","false","marks sent","save","queued is not sent/delivered","queued/accepted/delivered states","worker failure/bounce","R-71"
"MQ-027","Expired cart token","coupon query","Marketing","older 24h","19 expired tokens local","sends link/coupon","no expiry filter","expired recovery link can be mailed","renew or suppress via policy","expiry boundary/replay","R-71"
"MQ-028","Cart conversion","hasPaidOrderAfterUpdate","Marketing","before campaign","email-to-user lookup","suppresses recent paid user","7-day lookback","guest/changed email/window semantics uncertain","stable customer/cart conversion rule","email change/guest/late payment","R-71"
"MQ-029","Two-date cohort","diffInDays == 5","Marketing","daily","252 active coupons","selects campaign","date comparison","absolute diff can send before and after date","directional due date + unique campaign key","today±5/timezone","R-72"
"MQ-030","Two-date consent","UserNotify query","Marketing/Legal","daily","162/252 users news=NO","still sends","none","consent ignored","suppression checked at dispatch","YES/NO/change after claim","R-72"
"MQ-031","Two-date result","Mail::send return","Marketing","per recipient","SMTP call","activity success/failure","if($sended)","return is not provider delivery receipt","provider message ID/state","accepted/bounce/exception","R-69"
"MQ-032","Two-date batch","foreach recipients","Marketing/Operations","daily","all due rows","mail+log","none","one exception may abort batch","isolated outbox attempts/rate/dead-letter","one bad recipient/mid-batch crash","R-72"
"MQ-033","Overdue eligibility","nonfinal/unmarked orders","Operations/Customer","daily 18:00","60 local rows","computes due","status/email/date checks","production batch unknown","dry-run/max batch/business approval","local 59 due corpus","R-73"
"MQ-034","Overdue send","Mail::send then marker","Operations","due order","unmarked","SMTP then DB save","try/catch per order","crash/concurrency duplicate","claim/outbox/provider receipt","crash after accept/two hosts","R-73"
"MQ-035","Overdue timing","when_send or 3/8 weekdays","Business","order due calculation","serialized order data","scheduled message","weekend logic","no holiday/business sign-off","immutable due policy/version","weekend/holiday/invalid date","R-73"
"MQ-036","Overdue locale","delivery/user/fallback","Content","per order","locale candidates","localized template","allowlist+et to ee","must preserve seven locales and fallback","locale snapshot on intent","all locales/missing/invalid","R-74"
"MQ-037","Overdue telemetry","notifier logs","Operations/DPO","send/fail","order/email/locale/error","PII log","structured context","recipient and exception PII","hashed/reference IDs, redaction","log snapshot/redaction","R-75"
"MQ-038","Registration mail","new user flows","Identity","registration/checkout/admin order","saved user + plaintext password path","registration email","direct send","password exposure; SMTP can block order","never mail password; verification/reset intent","SMTP fail/retry/no password","R-68"
"MQ-039","Order confirmation","Orders::createOrder","Commerce","checkout","order inserted","email + Synvolve","direct send","failure after order creates retry duplicate","order-created outbox","SMTP fail/browser retry","R-68"
"MQ-040","Payment mail","payment/status handlers","Finance","provider/manual transition","payment/order state","success/gift/PDF mail","direct send","duplicate and partial financial side effects","unique payment transition event/outbox","callback replay/crash","R-68"
"MQ-041","Status mail","order status actions","Operations","status change","order row","sent/pickup/given mail","direct send","no transition-message identity","state machine event + template key","same status replay/out-of-order","R-68"
"MQ-042","Chat mail","account/admin chat handlers","CRM","message write","chat row/files","participant/admin mail","direct/raw send","partial DB/file/mail/webhook and XSS","message outbox + actor/policy","foreign order/duplicate/HTML","R-68"
"MQ-043","Review mail","review handlers/observer","Content","review submit/approve","review row","admin/user mail","direct send","mail failure affects request; PII/raw HTML","moderation event/outbox","malformed content/SMTP fail","R-68"
"MQ-044","Admin order mail","Admin OrdersController","Operations","manual order create","user/order state","credentials/order mail","direct send","plaintext password and partial order flow","invite/reset intent + order outbox","wrong role/retry/fail","R-68"
"MQ-045","PDF mail","approval/thanks notification","Commerce","order approval/thanks","filesystem path","mail attachment","path string","artifact may disappear before async send","immutable artifact receipt/hash/private path","missing/replaced file","R-76"
"MQ-046","Public preview","GET /mail/test","anonymous","HTTP GET","runtime config","dd response","web only","debug/config disclosure","local-only route or remove","production 404/permission","R-66"
"MQ-047","Public preview","GET /mail/abandoned_cart","anonymous","HTTP GET","hardcoded cart lookup","writes recovery token","none","state-changing preview GET","local fixture-only renderer","GET no DB diff","R-66"
"MQ-048","Public preview","GET /mail/abandoned_cart24","anonymous","HTTP GET","hardcoded cart lookup","may create coupon","none","financial/marketing mutation in preview","local fixture-only renderer","GET no coupon diff","R-66"
"MQ-049","Public preview","GET /mail/order","anonymous","HTTP GET","hardcoded order/user","renders private order mail","none","order/user data exposure","admin/local synthetic fixture","anonymous 404; no PII","R-66"
"MQ-050","Public preview","GET /mail/gift_cart","anonymous","HTTP GET","hardcoded user/order","renders gift mail","none","private data/template exposure","admin/local synthetic fixture","anonymous 404; no PII","R-66"
"MQ-051","Static previews","GET /mail/1..7","anonymous","HTTP GET","template only","renders mail HTML","none","production test surface/assets","local-only snapshot harness","production 404/crawl","R-66"
"MQ-052","Friend invite","POST send_frend_email","authenticated user","arbitrary recipient+promo","current user","two direct emails","Auth dereference","no explicit throttle/recipient verification","rate-limited verified invite intent","burst/arbitrary email/duplicate","R-72"
"MQ-053","Public forms","portrait/photo/styles/review","anonymous/user","PII/files/comment","order/review state","admin/customer mail","validation varies","raw HTML, no unified rate/outbox","FormRequest+rate+outbox","spam/XSS/SMTP failure","R-75"
"MQ-054","Unsubscribe","marketing templates","recipient","link click","consent state","should suppress","displayed text","many href # or external placeholder","signed one-click suppression endpoint","all templates/tamper/expiry","R-72"
"MQ-055","Unsubscribe","AdminMailNotification","recipient","numeric user URL","users.news","sets NO","dynamic link","unsigned IDOR GET","signed opaque token + audit","other ID/tamper/replay","R-72"
"MQ-056","Locale","Mailable App::setLocale","Content","build in request/worker","global locale","changes translations","manual set/fallback","locale may leak across messages","per-message locale + finally restore","mixed batch seven locales","R-74"
"MQ-057","Locale source","preferred/manual/global","Content","message creation","user/order/request locale","subject/body language","multiple patterns","inconsistent fallback/ee-et/CRM uk","locale registry and immutable snapshot","missing/invalid/all locales","R-74"
"MQ-058","Template determinism","random top-sale content","Marketing/Content","message build/retry","live DB collection","different body/assets","random()","same event retry can change content/fail on sparse data","snapshot selected content IDs/version","retry/sparse collection","R-74"
"MQ-059","Remote assets","68 mail view files","Content/Operations","email open/render","785 URL refs","loads external images/fonts","hardcoded URLs","availability/privacy/host typo risk","approved asset manifest/CDN policy","blocked images/host outage","R-74"
"MQ-060","HTML safety","25 raw setBody patterns","Security","request/order/chat content","untrusted/mixed fields","HTML email","manual concatenation","contextual escaping absent","typed escaped templates/sanitizer","script/link/style/control chars","R-75"
"MQ-061","Blade raw echo","three {!! !!} patterns","Security/Content","product/quiz/translation data","mixed trust","raw HTML render","none centralized","injection if writer/request compromised","source classification + sanitizer","malicious product/quiz/content","R-75"
"MQ-062","PDF MIME","three attachment paths","Commerce","attach PDF","path","email attachment","mime text/pdf","wrong MIME and no hash receipt","application/pdf + immutable artifact","MIME/hash/missing file","R-76"
