layer,locale,scope,difference,static_runtime_evidence,required_owner_decision,default_safe_position,acceptance_test
ltm_translations,de,header_footer_new.header.top_sale,production/local value mismatch,DB Translation Manager source; identity/status equal,production wins|local wins|manual translation,preserve production until approved,header sale text/link/markup per locale
PHP file,de,account_new.orders.not_specified,local-only key,no direct static consumer found; dynamic lookup still possible,add and retain|archive|retire after usage proof,retain in versioned artifact; do not publish automatically,account empty-field/fallback scenarios
PHP file,de,header_footer_new.header.top_sale,production/local value mismatch,header/footer runtime dictionary,production wins|local wins|manual translation,preserve production until approved,public header/footer and locale navigation
ltm_translations,ee,header_footer_new.header.top_sale,production/local value mismatch,DB Translation Manager source; identity/status equal,production wins|local wins|manual translation,preserve production until approved,header sale text/link/markup per locale
PHP file,ee,account_new.orders.not_specified,local-only key,no direct static consumer found; dynamic lookup still possible,add and retain|archive|retire after usage proof,retain in versioned artifact; do not publish automatically,account empty-field/fallback scenarios
PHP file,ee,header_footer_new.header.top_sale,production/local value mismatch,header/footer runtime dictionary,production wins|local wins|manual translation,preserve production until approved,public header/footer and locale navigation
ltm_translations,en,header_footer_new.header.top_sale,production/local value mismatch,DB Translation Manager source; identity/status equal,production wins|local wins|manual translation,preserve production until approved,header sale text/link/markup per locale
PHP file,en,account_new.orders.not_specified,local-only key,no direct static consumer found; dynamic lookup still possible,add and retain|archive|retire after usage proof,retain in versioned artifact; do not publish automatically,account empty-field/fallback scenarios
PHP file,en,header_footer_new.header.top_sale,production/local value mismatch,header/footer runtime dictionary,production wins|local wins|manual translation,preserve production until approved,public header/footer and locale navigation
ltm_translations,et,header_footer_new.header.top_sale,production/local value mismatch,DB Translation Manager source; identity/status equal,production wins|local wins|manual translation,preserve production until approved,header sale text/link/markup per locale
PHP file,et,account_new.orders.not_specified,local-only key,no direct static consumer found; dynamic lookup still possible,add and retain|archive|retire after usage proof,retain in versioned artifact; do not publish automatically,account empty-field/fallback scenarios
PHP file,et,header_footer_new.header.top_sale,production/local value mismatch,header/footer runtime dictionary,production wins|local wins|manual translation,preserve production until approved,public header/footer and locale navigation
ltm_translations,lt,header_footer_new.header.top_sale,production/local value mismatch,DB Translation Manager source; identity/status equal,production wins|local wins|manual translation,preserve production until approved,header sale text/link/markup per locale
PHP file,lt,account_new.orders.not_specified,local-only key,no direct static consumer found; dynamic lookup still possible,add and retain|archive|retire after usage proof,retain in versioned artifact; do not publish automatically,account empty-field/fallback scenarios
PHP file,lt,header_footer_new.header.top_sale,production/local value mismatch,header/footer runtime dictionary,production wins|local wins|manual translation,preserve production until approved,public header/footer and locale navigation
ltm_translations,lv,header_footer_new.header.top_sale,production/local value mismatch,DB Translation Manager source; identity/status equal,production wins|local wins|manual translation,preserve production until approved,header sale text/link/markup per locale
PHP file,lv,account_new.orders.not_specified,local-only key,no direct static consumer found; dynamic lookup still possible,add and retain|archive|retire after usage proof,retain in versioned artifact; do not publish automatically,account empty-field/fallback scenarios
PHP file,lv,header_footer_new.header.top_sale,production/local value mismatch,header/footer runtime dictionary,production wins|local wins|manual translation,preserve production until approved,public header/footer and locale navigation
ltm_translations,pl,header_footer_new.header.top_sale,production/local value mismatch,DB Translation Manager source; identity/status equal,production wins|local wins|manual translation,preserve production until approved,header sale text/link/markup per locale
PHP file,pl,account_new.orders.not_specified,local-only key,no direct static consumer found; dynamic lookup still possible,add and retain|archive|retire after usage proof,retain in versioned artifact; do not publish automatically,account empty-field/fallback scenarios
PHP file,pl,header_footer_new.header.top_sale,production/local value mismatch,header/footer runtime dictionary,production wins|local wins|manual translation,preserve production until approved,public header/footer and locale navigation
ltm_translations,ru,header_footer_new.header.top_sale,production/local value mismatch,DB Translation Manager source; identity/status equal,production wins|local wins|manual translation,preserve production until approved,header sale text/link/markup per locale
PHP file,ru,account_new.orders.not_specified,local-only key,no direct static consumer found; dynamic lookup still possible,add and retain|archive|retire after usage proof,retain in versioned artifact; do not publish automatically,account empty-field/fallback scenarios
PHP file,ru,header_footer_new.header.top_sale,production/local value mismatch,header/footer runtime dictionary,production wins|local wins|manual translation,preserve production until approved,public header/footer and locale navigation
PHP file,ru,account_new.orders.user_status.print_text,production/local value mismatch,resources/views/theme/viar/account/order.blade.php:508,production wins|local wins|manual Russian copy,preserve production until account UAT,RU account order user-status screen
PHP file,cn,google_reviews.php,local-only file,google_reviews group used by public page partials; cn public routing unresolved,retain dormant|activate|retire after locale decision,preserve file byte-identical,CN locale fallback and Google reviews section if enabled
PHP file,jp,google_reviews.php,local-only file,google_reviews group used by public page partials; jp public routing unresolved,retain dormant|activate|retire after locale decision,preserve file byte-identical,JP locale fallback and Google reviews section if enabled
