path,format,role,mapped_catalog_tasks,review_result,note
00-README.md,MD,INDEX,64;65;66,PASS,Навигация и правила источников истины
01-current-project-audit.md,MD,BASELINE,AUD-003;PHP-001;FE-002,PASS,Исходный технический baseline
02-dependency-compatibility.md,MD,TASK_SOURCE,PHP-001;PHP-002;L13-001;FE-001;FE-002,PASS,Совместимость платформы и assets
03-laravel-upgrade-path.md,MD,TASK_SOURCE,L7-001…L13-001,PASS,Последовательные labs отменены; используется clean Laravel 13 skeleton
04-voyager-inventory.md,MD,TASK_SOURCE,VOY-001…VOY-010,PASS,Инвентарь Voyager
05-filament-architecture.md,MD,ARCHITECTURE,FIL-001…FIL-005;VOY-007,PASS,Целевая архитектура
06-application-code-migration.md,MD,TASK_SOURCE,APP-001…APP-005,PASS,Общий application/file/PDF перенос
07-integrations-migration.md,MD,TASK_SOURCE,INT-001…INT-007;RBK-002,PASS,Интеграции и rollback
08-database-migration-plan.md,MD,TASK_SOURCE,DB-002…DB-011;CUT-001…CUT-012;L3-002,PASS,"Данные, delta и reconciliation"
09-testing-strategy.md,MD,TASK_SOURCE,TST-001…TST-011;DEP-002,PASS,Автоматические и differential tests
10-deployment-and-rollback.md,MD,TASK_SOURCE,DEP-001…DEP-004;RBK-001…RBK-003,PASS,Deployment/cutover/rollback
11-step-by-step-roadmap.md,MD,TASK_SOURCE,см. crosswalk в 66,PASS,43 старых ID полностью нормализованы
12-risk-register.md,MD,RISK_SOURCE,все профильные; SEC-001;SEC-002;OPS-001…OPS-004,PASS,163 риска сопоставлены по области; шесть скрытых P0/OPS работ выделены
13-manual-checklist.md,MD,ACCEPTANCE,DEP-002;S0-09;TST-*,PASS,"103 пункта являются критериями приёмки, не отдельными backlog items"
14-open-questions.md,MD,GATE_SOURCE,профильные задачи; GOV-001,PASS,Ответы клиента закрыты DEC-01…68; технические gates остаются зависимостями
15-task-checklist.md,MD,TASK_SOURCE,65,PASS,Исторический backlog нормализован в каталоге
16-traceability-audit-plan.md,MD,AUDIT_METHOD,AUD-005,PASS,Методика traceability
17-route-inventory.md,MD,EVIDENCE,AUD-002;AUD-005;SEO-007,PASS,Route evidence
18-function-inventory.md,MD,EVIDENCE,AUD-005,PASS,Function evidence
19-critical-flow-traces.md,MD,EVIDENCE,TST-001;TST-002;TST-005,PASS,Critical flow evidence
20-pre-migration-function-audit.md,MD,TASK_SOURCE,AUD-003…AUD-011,PASS,Функциональные audit work packages
21-admin-acl-static-audit.md,MD,TASK_SOURCE,AUD-006;TST-004;VOY-004,PASS,ACL gaps и runtime matrix
22-basket-order-static-audit.md,MD,TASK_SOURCE,TST-001;TST-005;FIL-004,PASS,Order invariants
23-payment-static-audit.md,MD,TASK_SOURCE,SEC-001;INT-002;INT-003;CUT-004,PASS,Payment risks/contracts
24-files-pdf-static-audit.md,MD,TASK_SOURCE,AUD-008;TST-006;APP-001…APP-003,PASS,File/PDF contracts
25-venipak-delivery-static-audit.md,MD,TASK_SOURCE,AUD-009;TST-007;INT-006,PASS,Delivery contracts
26-auth-account-chat-static-audit.md,MD,TASK_SOURCE,AUD-012;AUTH-001;AUTH-002;CHAT-001;CHAT-002;SEC-009;INT-005,PASS,Auth/account/chat contracts
27-mail-queue-scheduler-static-audit.md,MD,TASK_SOURCE,AUD-010;QUE-001;CRON-001;MAIL-001;MAIL-002;SEC-010;OPS-002,PASS,Mail/queue/scheduler contracts
28-public-catalog-generators-static-audit.md,MD,TASK_SOURCE,AUD-011;SEC-011;CAT-001;CAT-002;TST-011,PASS,Catalogue/generator contracts
