"id","area","entrypoint","owner","inputs","current_source","side_effect_or_output","migration_invariant","negative_or_edge_tests","risk"
"PC-001","Routes","localized public group","Platform","locale prefix/request","routes/web.php middleware stack","localized response/session","preserve seven public URL locales","invalid locale; redirect loop; session locale","R-81"
"PC-002","Gallery","GET /new/gallery","Catalogue","locale","GalleryController::hb_render + gallery_page/sliders/items","catalogue landing HTML","same content/SEO categories","empty singleton; locale fallback","R-81"
"PC-003","Gallery","GET /new/gallery/{type}","Catalogue","type + filters","GalleryController::hb_type_render","type list HTML","type IDs/URLs/filter semantics","unknown type; null gallery","R-79"
"PC-004","Gallery","GET /new/gallery/{type}/{category}","Catalogue","type/category + filters","GalleryCategory/GalleryItem","category list HTML","category scoped to type","same slug across types; missing category","R-79"
"PC-005","Gallery","GET /gallery","SEO","locale","GalleryController::render","redirect to new gallery","status/location/locale continuity","query preservation; redirect chain","R-90"
"PC-006","Gallery","GET /gallery/{type}","Legacy catalogue","type","GalleryController::type_render","legacy redirect/render","access-log based retention","unknown type; bots","R-90"
"PC-007","Gallery","GET /gallery/{type}/{category}","Legacy catalogue","type/category","GalleryController::category_render","legacy category","redirect parity","duplicate slug; query","R-90"
"PC-008","Gallery item","GET /gallery/{type}/item/{item}","Catalogue","type + numeric item + query","GalleryController::hb_item_render","item page/session/SEO","existing item must render/canonicalize","current false-category 404","R-79"
"PC-009","Gallery item","GET /gallery/{type}/{category}/item/{item}","Legacy catalogue","type/category/item","GalleryController::item_render","legacy item page","old backlinks remain valid/redirected","mismatched category/type/item","R-90"
"PC-010","Type canonical","hb_item_render type check","SEO","URL type/item","gallery_items.id_type + gallery_types.url","301 on wrong type","same canonical and query","case; unknown type; missing type row","R-79"
"PC-011","Category lookup","GalleryCategory::getBy","Catalogue","category URL","gallery_categories","category model","scope by type before target","same URL cross type","R-79"
"PC-012","Catalog filters","page","Catalogue","positive page","Paginator 15","paged HTML","same page size/order/query links","0; negative; huge; nonnumeric","R-85"
"PC-013","Catalog filters","tag","Catalogue","CSV tag IDs","gallery_items_gallery_tag_rooms","filtered items","same OR/union semantics","unknown/duplicate/large list","R-84"
"PC-014","Catalog filters","color","Catalogue","color ID","gallery_items_ gallery_tag_colors","filtered items","preserve spaced table mapping","unknown/noninteger","R-84"
"PC-015","Catalog filters","size","Catalogue","encoded size + suffix","gallery_sizes + item pivot","filtered items","same dimension comparison","missing x/suffix; overflow","R-83"
"PC-016","Catalog filters","shape","Catalogue","shape token","GalleryItem::filterByShape","filtered items","same orientation thresholds","unknown/zero dimensions","R-85"
"PC-017","Catalog filters","search","Catalogue","search string/locale","base name or translations LIKE","matching items","same locale/fallback behavior","wildcards; long Unicode; XSS","R-81"
"PC-018","Catalog filters","order=new","Catalogue","enum","gallery_items.id desc","ordered list","same deterministic tiebreak","unknown enum","R-85"
"PC-019","Catalog filters","order=cheap/expensive","Catalogue","enum","gallery_items.price_from","ordered list","same null/price ordering","null/negative/equal prices","R-82"
"PC-020","Painters","GET /gallery/painters[/{letter}]","Catalogue","letter/search/locale","gallery_categories + translations","painter list","same alphabet/search","Unicode letter; empty; unknown","R-81"
"PC-021","Top paintings","GET /gallery/paintings-top","Catalogue","locale","category painter flags","list HTML","same limit/order","fewer than 19; inactive","R-85"
"PC-022","Modern painters","GET /gallery/modern_painters","Catalogue","locale","gallery_categories flags","list HTML","same flags/fallback","missing translation","R-81"
"PC-023","Modern paintings","GET /gallery/modern_handmade_paintings","Catalogue","filters","GalleryController","list HTML","same selection","unknown type/category","R-85"
"PC-024","Taxonomy","GET /gallery/age[/{alias}]","Catalogue","alias/search","a_gallery_age + pivots","list/items","same aliases/links","unknown alias; orphan","R-84"
"PC-025","Taxonomy","GET /gallery/nationality[/{alias}]","Catalogue","alias/search","nationality source","list/items","same aliases/links","unknown alias; locale","R-81"
"PC-026","Taxonomy","GET /gallery/style[/{alias}]","Catalogue","alias/search","a_gallery_style + pivots","list/items","same aliases/links","unknown alias; orphan","R-84"
"PC-027","Taxonomy","GET /gallery/genre[/{alias}]","Catalogue","alias/search","a_gallery_genre + pivots","list/items","same aliases/links","unknown alias; orphan","R-84"
"PC-028","Frames","GET /get/ram_search","Catalogue","search/color/material IDs","CanvasRam relations","localized JSON","same schema/values","invalid IDs; no result","R-80"
